alias,canonical_skill,category
python,python,Programming Language
python3,python,Programming Language
py,python,Programming Language

javascript,javascript,Programming Language
js,javascript,Programming Language
ecmascript,javascript,Programming Language

java,java,Programming Language

c,c,Programming Language
c++,c++,Programming Language
cpp,c++,Programming Language

machine learning,machine learning,Artificial Intelligence
ml,machine learning,Artificial Intelligence

deep learning,deep learning,Artificial Intelligence
dl,deep learning,Artificial Intelligence

natural language processing,natural language processing,Artificial Intelligence
nlp,natural language processing,Artificial Intelligence

computer vision,computer vision,Artificial Intelligence
cv,computer vision,Artificial Intelligence

tensorflow,tensorflow,Framework
tensor flow,tensorflow,Framework
tf,tensorflow,Framework

pytorch,pytorch,Framework
torch,pytorch,Framework

node.js,node.js,Web Development
nodejs,node.js,Web Development
node js,node.js,Web Development

react.js,react.js,Web Development
reactjs,react.js,Web Development
react,react.js,Web Development

express.js,express.js,Web Development
expressjs,express.js,Web Development
express,express.js,Web Development

amazon web services,amazon web services,Cloud
aws,amazon web services,Cloud

google cloud platform,google cloud platform,Cloud
gcp,google cloud platform,Cloud

microsoft azure,microsoft azure,Cloud
azure,microsoft azure,Cloud

docker,docker,DevOps
docker engine,docker,DevOps

kubernetes,kubernetes,DevOps
k8s,kubernetes,DevOps

git,git,Version Control
github,git,Version Control
github.com,git,Version Control
gitlab,git,Version Control

mysql,mysql,Database
postgresql,postgresql,Database
postgres,postgresql,Database
mongodb,mongodb,Database
mongo,mongodb,Database

numpy,numpy,Library
pandas,pandas,Library
scikit-learn,scikit-learn,Library
sklearn,scikit-learn,Library

sql,sql,Database
structured query language,sql,Database

html,html,Web Development
hypertext markup language,html,Web Development

css,css,Web Development
cascading style sheets,css,Web Development

typescript,typescript,Programming Language
ts,typescript,Programming Language

bootstrap,bootstrap,Web Development

tailwind css,tailwind css,Web Development
tailwind,tailwind css,Web Development

linux,linux,Operating System
ubuntu,linux,Operating System
debian,linux,Operating System

bash,bash,Scripting
shell scripting,bash,Scripting

jenkins,jenkins,DevOps

terraform,terraform,DevOps

ansible,ansible,DevOps

excel,excel,Data Analysis
microsoft excel,excel,Data Analysis

tableau,tableau,Data Visualization

power bi,power bi,Data Visualization
microsoft power bi,power bi,Data Visualization

statistics,statistics,Data Science
statistical analysis,statistics,Data Science

data visualization,data visualization,Data Science
data visualisation,data visualization,Data Science

rest api,rest api,Web Development
restful api,rest api,Web Development

fastapi,fastapi,Framework
fast api,fastapi,Framework

flask,flask,Framework

django,django,Framework

opencv,opencv,Computer Vision

langchain,langchain,Artificial Intelligence

vector database,vector database,Artificial Intelligence
vector databases,vector database,Artificial Intelligence

rag,retrieval augmented generation,Artificial Intelligence
retrieval augmented generation,retrieval augmented generation,Artificial Intelligence

llm,large language models,Artificial Intelligence
large language model,large language models,Artificial Intelligence
large language models,large language models,Artificial Intelligence

prompt engineering,prompt engineering,Artificial Intelligence

generative ai,generative ai,Artificial Intelligence
gen ai,generative ai,Artificial Intelligence

scipy,scipy,Library

matplotlib,matplotlib,Library

seaborn,seaborn,Library

xgboost,xgboost,Machine Learning

lightgbm,lightgbm,Machine Learning

catboost,catboost,Machine Learning

apache spark,apache spark,Big Data
spark,apache spark,Big Data

apache kafka,apache kafka,Big Data
kafka,apache kafka,Big Data

hadoop,hadoop,Big Data

airflow,airflow,Data Engineering
apache airflow,airflow,Data Engineering

etl,etl,Data Engineering
extract transform load,etl,Data Engineering
